Requirement Traceability Matrix,,,,,,,,,,,,,,,,,,,,,,,,,
No,Req ID,Req Desc,TC ID,TC Desc,Test Design,Test Designer,UAT Test  Req?,Test Execution,,,Defects?,Defect ID,Defect Status,Req Coverage Status,,,,,,,,,,,
,,,,,,,,Test Env,UAT Env,Prod Env,,,,,,,,,,,,,,,
1,2.1.1,"User Registration & Authentication (Actor: Guest; Customer; Property Owner; System)","TC-2.1.1-01, TC-2.1.1-02, TC-2.1.1-03, TC-2.1.1-04, TC-2.1.1-05, TC-2.1.1-06, TC-2.1.1-07, TC-2.1.1-08, TC-2.1.1-09, TC-2.1.1-10, TC-2.1.1-11, TC-2.1.1-12, TC-2.1.1-13, TC-2.1.1-14, TC-2.1.1-15","Verify successful registration/login/refresh and handle invalid credentials, existing users, and unauthorized public role registrations.",Complete,QA Team,Yes,Not Started,,,No,,,Covered,,,,,,,,,,,
2,2.1.2,"Digital KYC & User Profile Management (Actor: Customer; Property Owner; Admin; Authenticated User)","TC-2.1.2-01, TC-2.1.2-02, TC-2.1.2-03, TC-2.1.2-04, TC-2.1.2-05, TC-2.1.2-06, TC-2.1.2-07, TC-2.1.2-08, TC-2.1.2-09, TC-2.1.2-10, TC-2.1.2-11, TC-2.1.2-12","Verify ID uploads, profile updates, Admin approvals/rejections, handle missing compulsory KYC documents, invalid files, and soft deletion constraints.",Complete,QA Team,Yes,Not Started,,,No,,,Covered,,,,,,,,,,,
3,2.2.1,"Multi-tier Property Inventory Management (Actor: Property Owner; Admin; Sales Agent)","TC-2.2.1-01, TC-2.2.1-02, TC-2.2.1-03, TC-2.2.1-04, TC-2.2.1-05, TC-2.2.1-06, TC-2.2.1-07, TC-2.2.1-08, TC-2.2.1-09, TC-2.2.1-10, TC-2.2.1-11, TC-2.2.1-12, TC-2.2.1-13, TC-2.2.1-14, TC-2.2.1-15, TC-2.2.1-16, TC-2.2.1-17, TC-2.2.1-18, TC-2.2.1-19","Verify property drafting, Admin approval and Agent assignment workflows, handle missing mandatory data, test state reversion on Owner updates, and verify property filtering by multiple statuses.",Complete,QA Team,Yes,Not Started,,,No,,,Covered,,,,,,,,,,,
4,2.2.2,"Property Search, Filtering & Favorites (Actor: Public; Customer)","TC-2.2.2-01, TC-2.2.2-02, TC-2.2.2-03, TC-2.2.2-04, TC-2.2.2-05, TC-2.2.2-06, TC-2.2.2-07, TC-2.2.2-08, TC-2.2.2-09, TC-2.2.2-10, TC-2.2.2-11, TC-2.2.2-12","Verify filtering properties by location, price, area, orientation, add/remove favorites, handle invalid params, and block access to soft-deleted/unavailable properties.",Complete,QA Team,Yes,Not Started,,,No,,,Covered,,,,,,,,,,,
5,2.3.1,"Viewing Appointment Lifecycle (Actor: Customer; Sales Agent; Admin)","TC-2.3.1-01, TC-2.3.1-02, TC-2.3.1-03, TC-2.3.1-04, TC-2.3.1-05, TC-2.3.1-06, TC-2.3.1-07, TC-2.3.1-08, TC-2.3.1-09, TC-2.3.1-10, TC-2.3.1-11, TC-2.3.1-12, TC-2.3.1-13, TC-2.3.1-14, TC-2.3.1-15, TC-2.3.1-16, TC-2.3.1-17, TC-2.3.1-18, TC-2.3.1-19, TC-2.3.1-20","Verify appointment booking, agent assignment, completion, rating system, prevent booking sold/rented properties, and handle 30-minute buffer window conflicts.",Complete,QA Team,Yes,Not Started,,,No,,,Covered,,,,,,,,,,,
6,2.4.1,"Deposit Contract Generation & Workflow (Actor: Sales Agent; Admin; Customer; Property Owner)","TC-2.4.1-01, TC-2.4.1-02, TC-2.4.1-03, TC-2.4.1-04, TC-2.4.1-05, TC-2.4.1-06, TC-2.4.1-07, TC-2.4.1-08, TC-2.4.1-09, TC-2.4.1-10, TC-2.4.1-11, TC-2.4.1-12, TC-2.4.1-13, TC-2.4.1-14, TC-2.4.1-15","Verify DRAFT deposit creation, approval to WAITING_OFFICIAL, payment generation, ACTIVE transition, block duplicate contracts, and test Customer/Owner cancellations.",Complete,QA Team,Yes,Not Started,,,No,,,Covered,,,,,,,,,,,
7,2.4.2,"Smart Rental & Purchase Contract Workflow (Actor: Sales Agent; Admin)","TC-2.4.2-01, TC-2.4.2-02, TC-2.4.2-03, TC-2.4.2-04, TC-2.4.2-05, TC-2.4.2-06, TC-2.4.2-07, TC-2.4.2-08, TC-2.4.2-09, TC-2.4.2-10, TC-2.4.2-11, TC-2.4.2-12, TC-2.4.2-13, TC-2.4.2-14, TC-2.4.2-15, TC-2.4.2-16, TC-2.4.2-17, TC-2.4.2-18, TC-2.4.2-19, TC-2.4.2-20, TC-2.4.2-21, TC-2.4.2-22","Verify linking DRAFT to ACTIVE Deposit, validating prices, paperwork completion, terminal state transitions, mismatched deposit prevention, and security deposit management.",Complete,QA Team,Yes,Not Started,,,No,,,Covered,,,,,,,,,,,
8,2.5.1,"Integrated Payment Processing (Collections) (Actor: Customer; Property Owner; System)","TC-2.5.1-01, TC-2.5.1-02, TC-2.5.1-03, TC-2.5.1-04, TC-2.5.1-05, TC-2.5.1-06, TC-2.5.1-07, TC-2.5.1-08, TC-2.5.1-09, TC-2.5.1-10, TC-2.5.1-11, TC-2.5.1-12, TC-2.5.1-13, TC-2.5.1-14, TC-2.5.1-15, TC-2.5.1-16, TC-2.5.1-17, TC-2.5.1-18","Verify PayOS checkout generation, SUCCESS webhook processing, status updates, handle invalid webhook signatures, duplicate payment attempts, and late penalty generation.",Complete,QA Team,Yes,Not Started,,,No,,,Covered,,,,,,,,,,,
9,2.5.2,"Payouts & Internal Settlements (Actor: Accountant; Admin; System)","TC-2.5.2-01, TC-2.5.2-02, TC-2.5.2-03, TC-2.5.2-04, TC-2.5.2-05, TC-2.5.2-06, TC-2.5.2-07, TC-2.5.2-08, TC-2.5.2-09, TC-2.5.2-10, TC-2.5.2-11, TC-2.5.2-12, TC-2.5.2-13, TC-2.5.2-14","Verify manual Salary/Bonus status updates, auto-generation of Owner Payouts, handle missing Bank Account alerts, and trigger Customer refunds mid-flight.",Complete,QA Team,Yes,Not Started,,,No,,,Covered,,,,,,,,,,,
10,2.6.1,"Violation Reporting & Moderation (Actor: Authenticated User; Admin)","TC-2.6.1-01, TC-2.6.1-02, TC-2.6.1-03, TC-2.6.1-04, TC-2.6.1-05, TC-2.6.1-06, TC-2.6.1-07, TC-2.6.1-08, TC-2.6.1-09, TC-2.6.1-10","Verify reporting properties/users with evidence, Admin application of penalties, notification dispatch, invalid target handling, and safe report dismissal.",Complete,QA Team,Yes,Not Started,,,No,,,Covered,,,,,,,,,,,
11,2.7.1,"Analytics, Ranking & Dashboards (Actor: Admin; System)","TC-2.7.1-01, TC-2.7.1-02, TC-2.7.1-03, TC-2.7.1-04, TC-2.7.1-05, TC-2.7.1-06, TC-2.7.1-07, TC-2.7.1-08, TC-2.7.1-09, TC-2.7.1-10, TC-2.7.1-11, TC-2.7.1-12, TC-2.7.1-13, TC-2.7.1-14, TC-2.7.1-15","Verify rendering financial distributions, auto-calculating Lead Scores/Performance Tiers, block future year requests, and execute correct month-end salary recalculations.",Complete,QA Team,Yes,Not Started,,,No,,,Covered,,,,,,,,,,,
12,4.1.1,"Authentication & JWT Token Management (Actor: System; Authenticated User)","TC-4.1.1-01, TC-4.1.1-02, TC-4.1.1-03, TC-4.1.1-04, TC-4.1.1-05, TC-4.1.1-06, TC-4.1.1-07, TC-4.1.1-08","Verify token grant access, 401 on expiration, successful refresh flows, and proper rejection of malformed, tampered, or incorrectly typed tokens.",Complete,QA Team,Yes,Not Started,,,No,,,Covered,,,,,,,,,,,
13,4.1.2,"Role-Based Access Control (RBAC) (Actor: System)","TC-4.1.2-01, TC-4.1.2-02, TC-4.1.2-03, TC-4.1.2-04, TC-4.1.2-05, TC-4.1.2-06, TC-4.1.2-07, TC-4.1.2-08, TC-4.1.2-09, TC-4.1.2-10, TC-4.1.2-11, TC-4.1.2-12","Verify role-specific route protection (Admin stats, Agent contracts, Customer viewings) and prevent cross-role actions like Customer approvals or Agent contract voiding.",Complete,QA Team,Yes,Not Started,,,No,,,Covered,,,,,,,,,,,
14,4.1.3,"Insecure Direct Object Reference (IDOR) Prevention (Actor: Customer; Property Owner; Sales Agent)","TC-4.1.3-01, TC-4.1.3-02, TC-4.1.3-03, TC-4.1.3-04, TC-4.1.3-05, TC-4.1.3-06, TC-4.1.3-07, TC-4.1.3-08, TC-4.1.3-09, TC-4.1.3-10","Verify users can fetch own resources, prevent unauthorized UUID queries against notifications/payments, while permitting Property Owners to query owned property payments.",Complete,QA Team,Yes,Not Started,,,No,,,Covered,,,,,,,,,,,
15,4.1.4,"Webhook Signature Verification (Actor: Payment Gateway (Payway/PayOS); System)","TC-4.1.4-01, TC-4.1.4-02, TC-4.1.4-03, TC-4.1.4-04, TC-4.1.4-05, TC-4.1.4-06","Verify payloads with valid HMAC-SHA256 signatures are processed correctly and forcefully reject any missing or mismatched signature requests with 401. Added: TC-4.1.4-06 for Replay Attack prevention via timestamp validation.",Complete,QA Team,Yes,Not Started,,,No,,,Covered,,,,,,,,,,,
16,4.1.5,"Secure File Uploads (Actor: System; Authenticated User)","TC-4.1.5-01, TC-4.1.5-02, TC-4.1.5-03, TC-4.1.5-04, TC-4.1.5-05, TC-4.1.5-06","Verify Cloudinary upload constraints for images and PDFs, enforce MULTIPART_MAX_FILE_SIZE, and reject executable scripts masked as images.",Complete,QA Team,Yes,Not Started,,,No,,,Covered,,,,,,,,,,,
17,5.1.1,"Payment Gateway Integration State Integrity (Actor: System; Payment Gateway)","TC-5.1.1-01, TC-5.1.1-02, TC-5.1.1-03, TC-5.1.1-04, TC-5.1.1-05","Verify Idempotency-Key headers prevent duplicate payment sessions and handle upstream gateway timeouts gracefully via PaywayServerException.",Complete,QA Team,Yes,Not Started,,,No,,,Covered,,,,,,,,,,,
18,5.1.2,"Asynchronous Push Notifications (FCM) (Actor: System; Firebase)","TC-5.1.2-01, TC-5.1.2-02, TC-5.1.2-03, TC-5.1.2-04","Verify NotificationServiceImpl dispatches async FCM pushes on state changes without blocking, and handles invalid FCM tokens by marking as FAILED.",Complete,QA Team,Yes,Not Started,,,No,,,Covered,,,,,,,,,,,
19,5.1.3,"Automated Schedulers & Cron Jobs (Actor: System (Schedulers))","TC-5.1.3-01, TC-5.1.3-02, TC-5.1.3-03, TC-5.1.3-04, TC-5.1.3-05, TC-5.1.3-06, TC-5.1.3-07, TC-5.1.3-08, TC-5.1.3-09, TC-5.1.3-10","Verify RentalContractScheduler generates 1st-of-month payments, ranking schedulers fire at midnight, and latePaymentPenaltyRate applies correctly to overdue balances. Added: TC-5.1.3-09 for downtime recovery; TC-5.1.3-10 for Feb/Leap year handling.",Complete,QA Team,Yes,Not Started,,,No,,,Covered,,,,,,,,,,,
20,5.1.4,"Contract State Machine Integrity (Actor: System)","TC-5.1.4-01, TC-5.1.4-02, TC-5.1.4-03, TC-5.1.4-04, TC-5.1.4-05, TC-5.1.4-06, TC-5.1.4-07, TC-5.1.4-08, TC-5.1.4-09","Verify rigid sequence adherence (DRAFT -> WAITING_OFFICIAL -> PENDING_PAYMENT -> ACTIVE) and lock out invalid skips or transitions from terminal states. Added: TC-5.1.4-08 for concurrency safety; TC-5.1.4-09 for distributed state consistency.",Complete,QA Team,Yes,Not Started,,,No,,,Covered,,,,,,,,,,,
